"","Home","Away","Home_score","Away_score","Winner","H_Overall_W","H_Overall_L","H_Overall_Pct","H_Conf_W","H_Conf_L","H_Conf_Pct","H_Pts_for","H_Pts_against","H_SRS","H_SOS","H_Poll_curr","H_Poll_pre","H_Poll_high","H_Offensive_Points","H_Offensive_Pass_Completions","H_Offensive_Pass_Attempts","H_Offensive_Pass_Pct","H_Offensive_Pass_Yrds","H_Offensive_Pass_TD","H_Offensive_RusH_Attempts","H_Offensive_RusH_Yards","H_Offensive_RusH_Yards_Average","H_Offensive_RusH_TD","H_Offensive_Total_Plays","H_Offensive_Total_Yards","H_Offensive_Total_Average","H_Offensive_First_Downs_Pass","H_Offensive_First_Downs_Rush","H_Offensive_First_Downs_Penalty","H_Offensive_First_Downs_Total","H_Offensive_Penalties_Number","H_Offensive_Penalties_Yards","H_Offensive_Turnovers_Fumbles","H_Offensive_Turnovers_Pass_Interception","H_Offensive_Turnovers_Total","H_Defensive_Points","H_Defensive_Pass_Completions","H_Defensive_Pass_Attempts","H_Defensive_Pass_Pct","H_Defensive_Pass_Yrds","H_Defensive_Pass_TD","H_Defensive_RusH_Attempts","H_Defensive_RusH_Yards","H_Defensive_RusH_Yards_Average","H_Defensive_RusH_TD","H_Defensive_Total_Plays","H_Defensive_Total_Yards","H_Defensive_Total_Average","H_Defensive_First_Downs_Pass","H_Defensive_First_Downs_Rush","H_Defensive_First_Downs_Penalty","H_Defensive_First_Downs_Total","H_Defensive_Penalties_Number","H_Defensive_Penalties_Yards","H_Defensive_Turnovers_Fumbles","H_Defensive_Turnovers_Pass_Interception","H_Defensive_Turnovers_Total","A_Overall_W","A_Overall_L","A_Overall_Pct","A_Conf_W","A_Conf_L","A_Conf_Pct","A_Pts_for","A_Pts_against","A_SRS","A_SOS","A_Poll_curr","A_Poll_pre","A_Poll_high","A_Offensive_Points","A_Offensive_Pass_Completions","A_Offensive_Pass_Attempts","A_Offensive_Pass_Pct","A_Offensive_Pass_Yrds","A_Offensive_Pass_TD","A_Offensive_RusA_Attempts","A_Offensive_RusA_Yards","A_Offensive_RusA_Yards_Average","A_Offensive_RusA_TD","A_Offensive_Total_Plays","A_Offensive_Total_Yards","A_Offensive_Total_Average","A_Offensive_First_Downs_Pass","A_Offensive_First_Downs_Rush","A_Offensive_First_Downs_Penalty","A_Offensive_First_Downs_Total","A_Offensive_Penalties_Number","A_Offensive_Penalties_Yards","A_Offensive_Turnovers_Fumbles","A_Offensive_Turnovers_Pass_Interception","A_Offensive_Turnovers_Total","A_Defensive_Points","A_Defensive_Pass_Completions","A_Defensive_Pass_Attempts","A_Defensive_Pass_Pct","A_Defensive_Pass_Yrds","A_Defensive_Pass_TD","A_Defensive_RusA_Attempts","A_Defensive_RusA_Yards","A_Defensive_RusA_Yards_Average","A_Defensive_RusA_TD","A_Defensive_Total_Plays","A_Defensive_Total_Yards","A_Defensive_Total_Average","A_Defensive_First_Downs_Pass","A_Defensive_First_Downs_Rush","A_Defensive_First_Downs_Penalty","A_Defensive_First_Downs_Total","A_Defensive_Penalties_Number","A_Defensive_Penalties_Yards","A_Defensive_Turnovers_Fumbles","A_Defensive_Turnovers_Pass_Interception","A_Defensive_Turnovers_Total"
"201","Baylor","Oklahoma State",35,31,0,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
"202","Kansas","Iowa State",3,27,1,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3
"203","Texas Tech","Oklahoma",46,51,1,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
"204","Texas Christian","Kansas State",14,13,0,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6
"205","Texas","West Virginia",41,42,1,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2
"206","Iowa State","Baylor",28,14,0,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8
"207","Kansas State","Kansas",21,17,0,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3
"208","Oklahoma","Oklahoma State",48,47,0,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
"209","Texas Tech","Texas",34,41,1,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4
"210","West Virginia","Texas Christian",47,10,0,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3
"211","Kansas State","Texas Tech",21,6,0,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5
"212","Oklahoma","Kansas",55,40,0,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3
"213","Oklahoma State","West Virginia",45,41,0,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2
"214","Texas","Iowa State",24,10,0,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3
"215","Baylor","Texas Christian",9,16,1,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3
"216","West Virginia","Oklahoma",56,59,1,8,3,0.727,6,3,0.667,42.3,26.5,14.45,3.45,15,17,6,42.3,24.7,37,66.8,358.1,3.5,35.4,162.3,4.6,1.9,72.4,520.4,7.2,14.8,8.4,1.6,24.8,7.2,66.8,0.6,0.8,1.5,26.5,20.5,32.6,63,254.6,1.9,36.5,151.2,4.1,1.2,69.2,405.8,5.9,11,9.4,1.5,21.9,6.5,57.4,0.8,1.2,2,11,1,0.917,8,1,0.889,50.3,32.8,18.36,4.53,5,7,5,50.3,19.2,27.5,69.7,319.4,3.2,37.5,264.8,7.1,3.2,65,584.3,9,13.1,11.9,1.2,26.2,6.2,61.7,0.4,0.6,1,32.8,22.3,35.3,63.1,286.6,1.8,39.5,162.4,4.1,2.4,74.8,449,6,12.6,9.6,2.1,24.3,5.5,50.1,0.4,0.4,0.8
"217","Kansas","Texas",17,24,1,3,9,0.25,1,8,0.111,23.8,30,-4.32,2.68,NA,NA,NA,23.8,19.2,32.8,58.5,192.7,1.5,35.2,158.2,4.5,1.2,67.9,350.8,5.2,9.3,7.2,1.5,17.9,6.5,55.8,0.6,0.3,0.9,30,19.5,30.1,64.8,246.8,1.9,38.6,172.4,4.5,1.8,68.7,419.2,6.1,10.7,9.8,1.4,21.9,6,55.3,0.9,1.3,2.3,9,3,0.75,7,2,0.778,31.7,25.2,10.82,4.74,9,23,6,31.7,22.3,34.3,65,257.4,2.2,40.3,157.3,3.9,1.6,74.5,414.7,5.6,12.2,9.3,2,23.5,7,62.5,0.4,0.4,0.8,25.2,21.3,35.5,59.9,255.8,1.7,34.7,136.5,3.9,1.4,70.2,392.3,5.6,10.8,7.5,1.7,20,6.8,69.8,0.5,0.9,1.4
"218","Baylor","Texas Tech",35,24,0,6,6,0.5,4,5,0.444,28.3,31.2,2.7,3.04,NA,NA,NA,28.3,22.9,37.5,61.1,282.2,1.7,38,159.5,4.2,1.8,75.5,441.7,5.8,12.1,10.6,2.4,25.1,7.8,76.1,0.5,1,1.5,31.2,19.1,31,61.6,237.6,2,34.5,175,5.1,1.8,65.5,412.6,6.3,9.8,8.8,1.8,20.4,6.4,58.8,0.2,0.6,0.8,5,7,0.417,3,6,0.333,37.3,31.1,5.7,4.37,NA,NA,25,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81,484.3,6,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8,31.1,20.5,36.2,56.7,288.3,2.3,39.3,160.6,4.1,1.3,75.4,448.9,6,11.8,8.9,2.3,23.1,7.3,61.8,0.5,1,1.5
"219","Iowa State","Kansas State",42,38,0,7,4,0.636,6,3,0.667,26.8,22.4,10.16,5.71,24,NA,18,26.8,18.4,28.1,65.4,241.6,1.7,34.8,125.4,3.6,1.3,62.9,367,5.8,9.5,7.6,2.1,19.1,4.5,39.9,0.7,0.5,1.3,22.4,20.1,32.9,61,229.5,1.6,37.4,128.1,3.4,0.7,70.3,357.5,5.1,10.4,8.2,0.8,19.4,6.4,61,0.6,0.6,1.3,5,7,0.417,3,6,0.333,22.5,25.4,1.81,3.89,NA,NA,NA,22.5,13.8,24.2,57.2,162.1,0.9,42.3,182.6,4.3,1.7,66.4,344.7,5.2,7.3,9.7,1.8,18.8,4.9,44.8,0.8,0.6,1.4,25.4,21.3,35.3,60.1,245.8,1.7,32.3,158,4.9,1.2,67.7,403.8,6,11.6,8.3,1.3,21,5.8,50.8,0.7,0.9,1.6
"220","Texas Christian","Oklahoma State",31,24,0,6,6,0.5,4,5,0.444,24.7,24.4,3.95,5.04,NA,16,15,24.7,19.2,32.3,59.4,226.1,1.5,36.3,148.5,4.1,1.1,68.6,374.6,5.5,9.8,8.3,1.1,19.2,4.4,39.8,0.9,0.9,1.8,24.4,17.4,31.2,55.9,202.6,1.4,39.1,141.8,3.6,1.5,70.3,344.4,4.9,9,8.7,1.3,19,5.8,46.3,0.8,0.6,1.3,6,6,0.5,3,6,0.333,38.4,32.4,6.21,3.37,NA,NA,15,38.4,22.1,37.3,59.3,306.7,2.4,40.3,192.5,4.8,2.4,77.6,499.2,6.4,14.1,10.2,1.8,26,6.8,70.1,0.8,0.9,1.7,32.4,21.3,34.5,61.8,258.3,2,40,178.8,4.5,2.1,74.5,437.1,5.9,11.8,8.3,2.8,22.8,6.2,51,0.6,0.4,1
"221","Stanford","USC",17,3,0,7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3,5,7,0.417,4,5,0.444,26.1,27,2.87,4.03,NA,15,15,26.1,20.3,33.4,60.8,248.2,1.5,32.8,134.4,4.1,1.4,66.2,382.6,5.8,10.3,7,1.9,19.3,8,73.6,0.8,0.8,1.6,27,19.9,33.9,58.7,223.3,1.7,38.3,164.8,4.3,1.7,72.2,388.1,5.4,10.7,7.8,2,20.5,5.8,56.9,0.5,0.3,0.8
"222","Utah","Washington",7,21,1,9,4,0.692,6,4,0.6,28.7,18.5,11.47,3.23,17,NA,16,28.7,17.2,27.8,61.6,207.2,1.3,40.8,189.5,4.6,1.8,68.7,396.6,5.8,8.7,10.2,1.5,20.4,5.2,47.8,0.8,0.8,1.5,18.5,19.3,33.7,57.3,213.3,1.2,34.1,102.9,3,1,67.8,316.2,4.7,9.1,5.9,2,17,4.7,45.2,0.5,1.1,1.5,10,3,0.769,8,2,0.8,26.6,15.5,11.87,3.02,10,6,6,26.6,17.5,26.9,65.1,232.5,1.4,40.6,179.9,4.4,1.8,67.5,412.4,6.1,10.9,9.2,1.6,21.8,4.8,44.1,0.4,0.9,1.3,15.5,20.8,32.3,64.3,185.4,0.7,33,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1,16.5,5,43,0.6,0.8,1.5
"223","USC","Washington State",39,36,0,5,7,0.417,4,5,0.444,26.1,27,2.87,4.03,NA,15,15,26.1,20.3,33.4,60.8,248.2,1.5,32.8,134.4,4.1,1.4,66.2,382.6,5.8,10.3,7,1.9,19.3,8,73.6,0.8,0.8,1.6,27,19.9,33.9,58.7,223.3,1.7,38.3,164.8,4.3,1.7,72.2,388.1,5.4,10.7,7.8,2,20.5,5.8,56.9,0.5,0.3,0.8,10,2,0.833,7,2,0.778,38.3,23.1,12.49,-0.17,12,NA,7,38.3,36.9,52.3,70.5,379.8,3.1,21.8,83.2,3.8,1.8,74.1,462.9,6.2,18,4.7,1.9,24.9,6.7,65,0.3,0.8,1.1,23.1,17.8,30.3,58.5,208.8,1.4,33.9,137.2,4,1.5,64.3,345.9,5.4,8.9,7.6,2.8,19.3,7,60.2,0.8,0.8,1.7
"224","Oregon State","Arizona",14,35,1,2,10,0.167,1,8,0.111,26.1,45.7,-10.47,3.95,NA,NA,NA,26.1,21.6,35.8,60.2,249.2,1.4,40.4,155.6,3.8,1.9,76.3,404.8,5.3,11.5,8.8,1.6,21.9,5.3,47.9,0.8,0.8,1.5,45.7,19.6,30.8,63.7,254.9,2.8,41.5,282,6.8,3.1,72.3,536.9,7.4,11.1,13,1.5,25.6,5.2,47.3,0.4,0.3,0.7,5,7,0.417,4,5,0.444,31.3,32.6,0.12,1.45,NA,NA,NA,31.3,18,32.4,55.5,255.3,2.4,41.1,202.4,4.9,1.2,73.5,457.7,6.2,10.8,9.6,3.2,23.6,7.9,75.7,0.8,0.8,1.6,32.6,23.4,36.7,63.9,269.5,2.3,38.7,162.5,4.2,2,75.3,432,5.7,12.2,8.5,3,23.7,8.7,82.3,0.7,0.6,1.3
"225","Oregon","Stanford",31,38,1,8,4,0.667,5,4,0.556,37.2,27,6.78,-0.39,NA,24,12,37.2,18.9,32,59.1,254.7,2.3,41.6,192.8,4.6,2.3,73.6,447.5,6.1,11,9.8,1.7,22.5,4.8,46.1,0.8,0.7,1.4,27,19.6,34.3,57,247.4,2,37.9,145.7,3.8,1.1,72.3,393.1,5.4,11.6,7.7,1.9,21.2,5.7,43.4,0.5,1.3,1.8,7,4,0.636,5,3,0.625,30.2,24.7,7.68,3.5,NA,13,7,30.2,22.5,34.3,65.5,291.6,2.5,28.6,109.8,3.8,1.2,62.9,401.5,6.4,12.4,4.9,3,20.3,5.5,42.5,0.3,1,1.3,24.7,22.7,36.2,62.8,281.7,1.2,36.3,139.6,3.8,1.5,72.5,421.4,5.8,12.7,7.6,1.1,21.5,6.6,66,0.5,0.8,1.3
"226","Washington","Arizona State",27,20,0,10,3,0.769,8,2,0.8,26.6,15.5,11.87,3.02,10,6,6,26.6,17.5,26.9,65.1,232.5,1.4,40.6,179.9,4.4,1.8,67.5,412.4,6.1,10.9,9.2,1.6,21.8,4.8,44.1,0.4,0.9,1.3,15.5,20.8,32.3,64.3,185.4,0.7,33,116.4,3.5,0.9,65.3,301.8,4.6,9.3,6.2,1,16.5,5,43,0.6,0.8,1.5,7,5,0.583,5,4,0.556,30.8,25.1,6.38,1.46,NA,NA,23,30.8,19,30.5,62.3,241.3,1.6,38.4,185.9,4.8,2.1,68.9,427.3,6.2,10.3,9.7,1.8,21.8,6.3,56.6,0.3,0.4,0.8,25.1,19.3,31.6,60.9,238.7,1.7,39.6,164.2,4.1,1.2,71.2,402.8,5.7,10.8,9.8,2.2,22.8,6,56,0.7,0.8,1.5
"227","Colorado","UCLA",38,16,0,5,7,0.417,2,7,0.222,27.1,27.3,-0.55,0.7,NA,NA,19,27.1,22.6,35,64.5,249.6,1.6,37.7,143,3.8,1.8,72.7,392.6,5.4,11.1,7.6,2,20.7,5.9,55.3,0.6,1,1.6,27.3,19,33.6,56.6,233.8,1.9,39,146.5,3.8,1,72.6,380.3,5.2,9.7,8.3,2.3,20.3,7.2,64.6,0.6,0.7,1.3,3,9,0.25,3,6,0.333,24.6,34.1,-1.58,7.34,NA,NA,NA,24.6,19.9,33.6,59.3,237.8,1.1,37.5,155.3,4.1,1.7,71.1,393,5.5,11.2,8.2,1.8,21.1,6.8,57,0.6,0.8,1.4,34.1,18.8,30.9,60.9,245.5,1.6,42.9,200.1,4.7,2.6,73.8,445.6,6,11.3,10.1,2.1,23.4,5.4,47.5,0.6,0.9,1.5
"228","Arizona State","Oregon State",52,24,0,7,5,0.583,5,4,0.556,30.8,25.1,6.38,1.46,NA,NA,23,30.8,19,30.5,62.3,241.3,1.6,38.4,185.9,4.8,2.1,68.9,427.3,6.2,10.3,9.7,1.8,21.8,6.3,56.6,0.3,0.4,0.8,25.1,19.3,31.6,60.9,238.7,1.7,39.6,164.2,4.1,1.2,71.2,402.8,5.7,10.8,9.8,2.2,22.8,6,56,0.7,0.8,1.5,2,10,0.167,1,8,0.111,26.1,45.7,-10.47,3.95,NA,NA,NA,26.1,21.6,35.8,60.2,249.2,1.4,40.4,155.6,3.8,1.9,76.3,404.8,5.3,11.5,8.8,1.6,21.9,5.3,47.9,0.8,0.8,1.5,45.7,19.6,30.8,63.7,254.9,2.8,41.5,282,6.8,3.1,72.3,536.9,7.4,11.1,13,1.5,25.6,5.2,47.3,0.4,0.3,0.7
